site,requirement,due_date,status
North Site,Stormwater permit renewal,2026-05-20,open
Harbor Site,Air quality self-report,2026-06-06,open
Harbor Site,Spill kit inspection,2026-06-10,open
North Site,Hazardous waste manifest filing,2026-06-20,open
North Site,Noise monitoring report,2026-07-15,pending
Harbor Site,Annual compliance audit,2026-08-01,open
North Site,Q1 emissions report,2026-04-15,complete
Harbor Site,Tank integrity test,06/01/2026,open
,Safety checklist sign-off,2026-07-01,open
North Site,Stormwater permit renewal,2026-05-20,open
